DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-05,63.82,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-06,63.75,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-07,63.49,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-08,63.75,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-09,63.88,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-10,63.95,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-11,64.08,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2009-12,64.28,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-01,64.01,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-02,64.14,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-03,64.81,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-04,64.94,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-05,64.91,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-06,64.90,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-07,64.57,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-08,64.74,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-09,65.00,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-10,65.23,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-11,65.23,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2010-12,65.68,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-01,65.63,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-02,66.16,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-03,66.96,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-04,67.36,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-05,67.30,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-06,67.28,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-07,67.04,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-08,67.15,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-09,67.55,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-10,67.70,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-11,67.75,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2011-12,67.91,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-01,67.53,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-02,67.89,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-03,68.73,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-04,68.93,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-05,68.79,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-06,68.78,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-07,68.44,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-08,68.68,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-09,69.46,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-10,69.67,,
